"name","description",latitude,longitude
"2113","10768 S BENSLEY AVE",41.699752,-87.563356
"2114","3801 S PRINCETON AVE",41.825024,-87.633674
"2115","3801 S PRINCETON AVE",41.825024,-87.633674
"2116","3741 S PRINCETON AVE",41.826263,-87.633719
"2117","258 E 38TH ST",41.82559,-87.620419
"2118","260 W 38TH ST",41.825301,-87.633369
"2119","3752 S WELLS ST",41.8273,-87.632629
"212","402 E 51ST ST",41.802171,-87.616541
"2120","3800 S WELLS ST",41.82363,-87.632539
"2121","3803 S PRINCETON AVE",41.824948,-87.633595
"2122","3803 S PRINCETON AVE",41.824948,-87.633595
"2123","6400 N SHERIDAN RD",41.9992,-87.660825
"2124","6400 N SHERIDAN RD",41.9992,-87.660825
"2125","6400 N SHERIDAN RD",41.9992,-87.660825
"2126","4800 S WABASH AVE",41.80724,-87.624566
"2127","4800 S WABASH AVE",41.80724,-87.624566
"2128","4800 S WABASH AVE",41.80724,-87.624566
"2129","4800 S WABASH AVE",41.80724,-87.624566
"213","5600 S ROCKWELL ST",41.79175,-87.689053
"2130","4800 S WABASH AVE",41.80724,-87.624566
"2131","4800 S WABASH AVE",41.80724,-87.624566
"2132","4800 S WABASH AVE",41.80724,-87.624566
"2133","3189 S LITUANICA AVE",41.836598,-87.648465
"214","5932 N GLENWOOD AVE",41.99002,-87.665148
"215","6661 N CLARK ST",42.003042,-87.672144
"216","2002 W FOSTER AVE",41.976157,-87.679579
"218","3757 W 63RD ST",41.778613,-87.716757
"219","1730 W MONTEREY AVE",41.690536,-87.665616
"22","5558 S CICERO AVE",41.792034,-87.74187
"220","920 E 103RD ST",41.707665,-87.600918
"2200","400 W ERIE ST",41.894068,-87.638694
"2201","35 E ERIE ST",41.894005,-87.626902
"2202","300 N CLINTON ST",41.886939,-87.641522
"2203","300 N DESPLAINES ST",41.887048,-87.644437
"2204","100 W GRAND AVE",41.891727,-87.631292
"2205","40 W GRAND AVE",41.891761,-87.629398
"2206","635 W GRAND AVE",41.891046,-87.64492
"2207","800 W GRAND AVE",41.891247,-87.647703
"2208","440 W GRAND AVE",41.891622,-87.640121
"2209","125 E GRAND AVE",41.891599,-87.624425
"221","3900 S DR MARTIN LUTHER KING JR DR",41.823626,-87.617401
"2210","335 W GRAND AVE",41.891429,-87.636933
"2211","100 E GRAND AVE",41.891805,-87.62521
"2212","220 E GRAND AVE",41.891905,-87.622022
"2213","1 W GRAND AVE",41.891545,-87.628249
"2214","695 E GRAND AVE",41.891986,-87.609192
"2215","500 W GRAND AVE",41.891451,-87.64165
"2216","200 W GRAND AVE",41.891683,-87.634234
"2217","125 E GRAND AVE",41.891599,-87.624425
"2218","500 W HARRISON ST",41.874446,-87.639804
"2219","700 W HARRISON ST",41.874489,-87.644127
"222","350 E 31ST ST",41.838472,-87.618114
"2220","150 W HARRISON ST",41.874623,-87.631503
"2221","300 W HARRISON ST",41.874527,-87.635125
"2222","800 W HARRISON ST",41.874507,-87.647377
"2223","200 W HARRISON ST",41.874581,-87.633765
"2224","1100 N WELLS ST",41.902203,-87.634512
"2225","1050 N HALSTED ST",41.900831,-87.648131
"2226","100 W HUBBARD ST",41.890134,-87.631254
"2227","340 W HUBBARD ST",41.89006,-87.637232
"2228","1 W HUBBARD ST",41.889958,-87.628214
"2229","700 W HUBBARD ST",41.890196,-87.646066
"223","4831 W ARMITAGE AVE",41.916771,-87.747698
"2230","700 N CLARK ST",41.894943,-87.631301
"2231","40 W HURON ST",41.894967,-87.62955
"2232","435 W HURON ST",41.894579,-87.640195
"2233","300 W HURON ST",41.894867,-87.635832
"2234","100 E HURON ST",41.895021,-87.62528
"2235","200 E HURON ST",41.895108,-87.622507
"2236","1 E HURON ST",41.89477,-87.627964
"2237","200 W HURON ST",41.894883,-87.634315
"2238","300 E ILLINOIS ST",41.891049,-87.620155
"2239","40 W ILLINOIS ST",41.890956,-87.629431
"224","4425 W ARMITAGE AVE",41.916869,-87.737255
"2240","300 W ILLINOIS ST",41.890863,-87.635719
"2241","135 W ILLINOIS ST",41.890694,-87.632402
"2242","400 E ILLINOIS ST",41.89121,-87.617407
"2243","137 E ILLINOIS ST",41.890813,-87.623941
"2244","500 E ILLINOIS ST",41.891205,-87.613805
"2245","35 E ILLINOIS ST",41.890745,-87.627126
"2246","500 W JACKSON BLVD",41.878152,-87.639723
"2247","100 W JACKSON BLVD",41.87823,-87.63089
"2248","300 E JACKSON DR",41.878388,-87.620675
"2249","40 W JACKSON BLVD",41.878246,-87.628828
"225","5002 S ARCHER AVE",41.802315,-87.723746
"2250","150 W JACKSON BLVD",41.878192,-87.632331
"2251","300 W JACKSON BLVD",41.878388,-87.620675
"2252","800 W JACKSON BLVD",41.878026,-87.647384
"2253","150 W JACKSON BLVD",41.878192,-87.632331
"2254","300 S LAKE SHORE DR SB",41.878263,-87.617566
"2255","300 S MICHIGAN AVE",41.878132,-87.624544
"2256","350 W JACKSON BLVD",41.87847,-87.619083
"2257","200 W JACKSON BLVD",41.878211,-87.633925
"2258","350 N HALSTED ST",41.888091,-87.647664
"2259","40 W KINZIE ST",41.889336,-87.629388
"226","1600 S SPAULDING AVE",41.85886,-87.708052
"2260","410 N DESPLAINES ST",41.889358,-87.644474
"2261","300 W KINZIE ST",41.889217,-87.635672
"2262","390 W KINZIE ST",41.889235,-87.637748
"2263","400 N LA SALLE DR",41.889295,-87.632654
"2264","340 W KINZIE ST",41.889192,-87.637111
"2265","200 W KINZIE ST",41.88919,-87.634045
"2266","500 W LAKE ST",41.885774,-87.639903
"2267","100 W LAKE ST",41.885851,-87.631144
"2268","635 W LAKE ST",41.885557,-87.643929
"2269","800 W LAKE ST",41.885756,-87.647624
"227","201 S KEDZIE AVE",41.878277,-87.705914
"2270","600 W LAKE ST",41.885804,-87.642918
"2271","100 E LAKE ST",41.885824,-87.624439
"2272","340 W LAKE ST",41.885859,-87.636265
"2273","200 W LAKE ST",41.885796,-87.634054
"2274","1 W LAKE ST",41.885654,-87.628134
"2275","500 S LAKE SHORE DR SB",41.875041,-87.617465
"2276","100 W MADISON ST",41.882025,-87.630959
"2277","550 W MADISON ST",41.881992,-87.641528
"2278","2000 W MADISON ST",41.881352,-87.676731
"2279","40 W MADISON ST",41.882149,-87.629023
"228","2700 N KILBOURN AVE",41.929734,-87.739303
"2280","635 W MADISON ST",41.881702,-87.643603
"2281","300 W MADISON ST",41.882074,-87.635486
"2282","800 W MADISON ST",41.881829,-87.647446
"2283","1 N LA SALLE ST",41.88205,-87.63226
"229","5100 W BELMONT AVE",41.93885,-87.754434
"23","1420 N SPAULDING AVE",41.907037,-87.70953
"230","6301 S STONY ISLAND AVE",41.780552,-87.586385
"231","11201 S WALLACE ST",41.690387,-87.637283
"232","4501 S DREXEL BLVD",41.813055,-87.603816
"233","5101 S HARPER AVE",41.802303,-87.588956
"234","800 E 79TH ST",41.751353,-87.605131
"236","6300 W BARRY AVE",41.936641,-87.783687
"237","543 N WALLER AVE",41.889937,-87.76755
"238","4652 N KIMBALL AVE",41.965697,-87.713427
"239","6353 W 55TH ST",41.792204,-87.780761
"24","5857 W AUGUSTA BLVD",41.898257,-87.771908
"240","802 S SACRAMENTO BLVD",41.870897,-87.701036
"241","4301 W WABANSIA AVE",41.911515,-87.733841
"242","700 W GARFIELD BLVD",41.794399,-87.642824
"243","1157 S SACRAMENTO BLVD",41.867308,-87.700623
"245","8059 S RACINE AVE",41.747624,-87.653484
"246","204 N PINE AVE",41.884477,-87.763504
"248","3058 N CICERO AVE",41.936486,-87.746971
"25","10931 S RACINE AVE",41.695095,-87.652043
"2500","1400 W MADISON ST",41.881619,-87.662438
"2501","350 W MADISON ST",41.882004,-87.637145
"2502","1900 W MADISON ST",41.881467,-87.674407
"2503","1800 W MADISON ST",41.881501,-87.671975
"2504","1400 S LAKE SHORE DR E",41.865144,-87.617366
"2505","1400 S LAKE SHORE DR E",41.865144,-87.617366
"2506","98 S CANAL ST",41.880718,-87.639812
"2507","390 W MONROE ST",41.880697,-87.638409
"2507","390 W MONROE ST",41.880697,-87.638409
"2508","100 W MONROE ST",41.88079,-87.631001
"2509","301 E MONROE DR",41.88415,-87.632409
"251","1401 E 70TH ST",41.767701,-87.59084
"2510","298 W MONROE ST",41.880759,-87.635128
"2510","298 W MONROE ST",41.880759,-87.635128
"2511","100 S HALSTED ST",41.880441,-87.647377
"2512","100 S STATE ST",41.880668,-87.627843
"2513","351 W MONROE ST",41.880563,-87.637102
"2514","200 W MONROE ST",41.880775,-87.633944
"2515","1800 W MONROE ST",41.880156,-87.671774
"252","1201 E 72ND ST",41.764007,-87.595544
"253","1359 E 75TH ST",41.75857,-87.591479
"254","4301 W 84TH ST",41.740134,-87.729029
"258","3300 W CRYSTAL ST",41.90387,-87.709514
"259","2714 W HARRISON ST",41.87394,-87.694188
